No.,形状,重量範囲,〜835mm,〜1670mm,〜2505mm,〜3048mm,3048mm超
1,L曲げ,10,500,800,1000,1300,2000
1,L曲げ,20,800,1000,1300,1500,2500
1,L曲げ,30,1000,1200,1500,1800,3000
1,L曲げ,50,2000,2500,3000,3500,4000
1,L曲げ,80,3000,3500,4000,5000,6000
1,L曲げ,100,4000,5000,6000,7000,8000
1,L曲げ,150,5000,6000,7000,8000,9000
1,L曲げ,9999,6000,7000,8000,9000,10000
2,コの字曲げ,10,800,1200,1500,2000,3000
2,コの字曲げ,20,1200,1500,2000,2300,3800
2,コの字曲げ,30,1500,1800,2300,2700,4500
2,コの字曲げ,50,3000,3800,4500,5300,6000
2,コの字曲げ,80,4500,5300,6000,7500,9000
2,コの字曲げ,100,6000,7500,9000,10500,12000
2,コの字曲げ,150,7500,9000,10500,12000,13500
2,コの字曲げ,9999,9000,10500,12000,13500,15000
3,Z曲げ,10,800,1200,1500,2000,3000
3,Z曲げ,20,1200,1500,2000,2300,3800
3,Z曲げ,30,1500,1800,2300,2700,4500
3,Z曲げ,50,3000,3800,4500,5300,6000
3,Z曲げ,80,4500,5300,6000,7500,9000
3,Z曲げ,100,6000,7500,9000,10500,12000
3,Z曲げ,150,7500,9000,10500,12000,13500
3,Z曲げ,9999,9000,10500,12000,13500,15000
4,C型曲げ,10,1400,2200,2700,3500,5400
4,C型曲げ,20,2200,2700,3500,4100,6800
4,C型曲げ,30,2700,3200,4100,4900,8100
4,C型曲げ,50,5400,6800,8100,9500,10800
4,C型曲げ,80,8100,9500,10800,13500,16200
4,C型曲げ,100,10800,13500,16200,18900,21600
4,C型曲げ,150,13500,16200,18900,21600,24300
4,C型曲げ,9999,16200,18900,21600,24300,27000
11,ハット曲げ,10,1400,2200,2700,3500,5400
11,ハット曲げ,20,2200,2700,3500,4100,6800
11,ハット曲げ,30,2700,3200,4100,4900,8100
11,ハット曲げ,50,5400,6800,8100,9500,10800
11,ハット曲げ,80,8100,9500,10800,13500,16200
11,ハット曲げ,100,10800,13500,16200,18900,21600
11,ハット曲げ,150,13500,16200,18900,21600,24300
11,ハット曲げ,9999,16200,18900,21600,24300,27000
